uuid,name,title,description,url,category,status,created_at
f2b2e019-5edd-49da-869e-4ad9e85d83ca,aliyun-alibabacloud-tablestore-mcp-server,aliyun/alibabacloud-tablestore-mcp-server,"Tablestore용 MCP 서비스, 문서 추가, 벡터 및 스칼라 기반 문서의 시맨틱 검색, RAG 친화적, 서버리스 기능 포함.",https://github.com/aliyun/alibabacloud-tablestore-mcp-server,databases,active,NOW()
e6e3d4d8-ff35-4f50-888a-24ac518908db,cr7258-elasticsearch-mcp-server,cr7258/elasticsearch-mcp-server,Elasticsearch 상호 작용을 제공하는 MCP 서버 구현,https://github.com/cr7258/elasticsearch-mcp-server,databases,active,NOW()
0c792407-2f32-4f38-bed5-8425142b02af,crystaldba-postgres-mcp,crystaldba/postgres-mcp,"Postgres 개발 및 운영을 위한 올인원 MCP 서버로, 성능 분석, 튜닝 및 상태 점검을 위한 도구 제공",https://github.com/crystaldba/postgres-mcp,databases,active,NOW()
0349e163-12aa-4471-b0b4-a714c4105d30,domdomegg-airtable-mcp-server,domdomegg/airtable-mcp-server,"스키마 검사, 읽기 및 쓰기 기능을 갖춘 Airtable 데이터베이스 통합",https://github.com/domdomegg/airtable-mcp-server,databases,active,NOW()
75a7d5a2-b337-4a4e-b51e-4ecf2395b43a,rashidazarang-airtable-mcp,rashidazarang/airtable-mcp,"AI 도구를 Airtable에 직접 연결합니다. 자연어를 사용하여 레코드를 쿼리, 생성, 업데이트 및 삭제합니다. 베이스 관리, 테이블 작업, 스키마 조작, 레코드 필터링 및 표준화된 MCP 인터페이스를 통한 데이터 마이그레이션 기능 포함.",https://github.com/rashidazarang/airtable-mcp,databases,active,NOW()
c8e626cc-ec2c-4505-ada9-51e8f43cf309,LucasHild-mcp-server-bigquery,LucasHild/mcp-server-bigquery,스키마 검사 및 쿼리 기능을 갖춘 BigQuery 데이터베이스 통합,https://github.com/LucasHild/mcp-server-bigquery,databases,active,NOW()
3090de18-2773-4057-a065-47212b0e420f,c4pt0r-mcp-server-tidb,c4pt0r/mcp-server-tidb,스키마 검사 및 쿼리 기능을 갖춘 TiDB 데이터베이스 통합,https://github.com/c4pt0r/mcp-server-tidb,databases,active,NOW()
52061961-44dd-49e5-9cdf-b9591e4c0942,tradercjz-dolphindb-mcp-server,tradercjz/dolphindb-mcp-server,스키마 검사 및 쿼리 기능을 갖춘 TDolphinDB 데이터베이스 통합,https://github.com/tradercjz/dolphindb-mcp-server,databases,active,NOW()
4571a248-a51c-47ec-ab03-703fc27e7a56,ergut-mcp-bigquery-server,ergut/mcp-bigquery-server,직접적인 BigQuery 데이터베이스 접근 및 쿼리 기능을 가능하게 하는 Google BigQuery 통합을 위한 서버 구현,https://github.com/ergut/mcp-bigquery-server,databases,active,NOW()
f2fb1d5d-0339-4f0d-849f-e6f22104faf0,ClickHouse-mcp-clickhouse,ClickHouse/mcp-clickhouse,스키마 검사 및 쿼리 기능을 갖춘 ClickHouse 데이터베이스 통합,https://github.com/ClickHouse/mcp-clickhouse,databases,active,NOW()
