uuid,name,title,description,url,category,status,created_at
cc963d13-82bb-4d18-8d54-7920d9d5e777,heurist-network-heurist-mesh-mcp-server,heurist-network/heurist-mesh-mcp-server,"Heurist Mesh 네트워크를 통해 블록체인 분석, 스마트 계약 보안 감사, 토큰 메트릭 평가 및 온체인 상호 작용을 위한 특화된 웹3 AI 에이전트에 접근합니다. 여러 블록체인에 걸쳐 DeFi 분석, NFT 가치 평가 및 트랜잭션 모니터링을 위한 포괄적인 도구를 제공합니다.",https://github.com/heurist-network/heurist-mesh-mcp-server,finance_fintech,active,NOW()
be4089d6-bfc4-465b-bc30-29ffab42474a,base-base-mcp,@base/base-mcp,"온체인 도구를 위한 Base 네트워크 통합으로, Base 네트워크 및 Coinbase API와 상호 작용하여 지갑 관리, 자금 이체, 스마트 계약 및 DeFi 운영 가능",https://github.com/base/base-mcp,finance_fintech,active,NOW()
2a78b67a-8949-4fa3-9f19-0857374dd9a9,QuantGeekDev-coincap-mcp,QuantGeekDev/coincap-mcp,"CoinCap의 공개 API를 사용한 실시간 암호화폐 시장 데이터 통합으로, API 키 없이 암호화폐 가격 및 시장 정보 접근 제공",https://github.com/QuantGeekDev/coincap-mcp,finance_fintech,active,NOW()
cd0c31ff-06a6-4147-8e6c-4a8807a624ba,anjor-coinmarket-mcp-server,anjor/coinmarket-mcp-server,암호화폐 목록 및 시세를 가져오기 위한 Coinmarket API 통합,https://github.com/anjor/coinmarket-mcp-server,finance_fintech,active,NOW()
75d1a13d-0245-4235-be8d-ea03e2ad64a9,berlinbra-alpha-vantage-mcp,berlinbra/alpha-vantage-mcp,주식 및 암호화폐 정보를 모두 가져오기 위한 Alpha Vantage API 통합,https://github.com/berlinbra/alpha-vantage-mcp,finance_fintech,active,NOW()
e2f7040f-b9b4-4495-b655-977db26fd0f3,ferdousbhai-tasty-agent,ferdousbhai/tasty-agent,Tastytrade에서의 거래 활동을 처리하기 위한 Tastyworks API 통합,https://github.com/ferdousbhai/tasty-agent,finance_fintech,active,NOW()
4333e6bb-1c46-407f-ae2d-8da73143c8a8,ferdousbhai-investor-agent,ferdousbhai/investor-agent,옵션 추천을 포함한 주식 시장 데이터를 가져오기 위한 Yahoo Finance 통합,https://github.com/ferdousbhai/investor-agent,finance_fintech,active,NOW()
b019f56a-f276-41c9-a1bf-defdd441ac06,mcpdotdirect-evm-mcp-server,mcpdotdirect/evm-mcp-server,"30개 이상의 EVM 네트워크를 위한 포괄적인 블록체인 서비스, 네이티브 토큰, ERC20, NFT, 스마트 계약, 트랜잭션 및 ENS 확인 지원.",https://github.com/mcpdotdirect/evm-mcp-server,finance_fintech,active,NOW()
d100ae3d-83e2-48b3-9bb7-e89ebe65add5,bankless-onchain-mcp,bankless/onchain-mcp,스마트 계약과 상호 작용하고 트랜잭션 및 토큰 정보를 쿼리하는 Bankless Onchain API,https://github.com/Bankless/onchain-mcp/,finance_fintech,active,NOW()
063b92e9-2711-48df-a323-d84e0058ba19,kukapay-cryptopanic-mcp-server,kukapay/cryptopanic-mcp-server,CryptoPanic 기반의 최신 암호화폐 뉴스를 AI 에이전트에게 제공.,https://github.com/kukapay/cryptopanic-mcp-server,finance_fintech,active,NOW()
ca53dbe8-c072-4819-9aae-45c7bee7ac06,kukapay-whale-tracker-mcp,kukapay/whale-tracker-mcp,암호화폐 고래 거래 추적을 위한 mcp 서버.,https://github.com/kukapay/whale-tracker-mcp,finance_fintech,active,NOW()
962e5da7-00fa-45da-9b06-f116aef21678,kukapay-crypto-feargreed-mcp,kukapay/crypto-feargreed-mcp,실시간 및 과거의 암호화폐 공포 및 탐욕 지수 데이터 제공.,https://github.com/kukapay/crypto-feargreed-mcp,finance_fintech,active,NOW()
